职位名,公司名,工作地点,薪资,发布日期
"

                    Python导师                
",传智播客教育集团成都分校,成都,2-2.5万/月,10-18
"

                    python讲师                
",深圳市思考乐教育集团,深圳-龙华新区,0.8-1.1万/月,10-18
"

                    Python开发工程师                
",上海举佳爽网络科技有限公司,重庆-南岸区,0.6-1万/月,10-18
"

                    python后端开发工程师                
",杭州麦苗网络技术有限公司,杭州-西湖区,1-1.5万/月,10-18
"

                    少儿编程Python讲师                
",深圳盛思教育咨询有限公司,深圳-南山区,0.8-1万/月,10-18
"

                    编程老师/Python/JAVA/上市                
",厦门童程童美科技有限公司,厦门,0.8-1.5万/月,10-18
"

                    Python资深算法工程师                
",深圳极联信息技术股份有限公司,上海-黄浦区,1.2-1.8万/月,10-18
"

                    Python开发工程师(J10385)                
",杭州味全食品有限公司,杭州-江干区,6-9千/月,10-18
"

                    Python开发工程师                
",深圳市世纪恒程知识产权代理事务所...,武汉,6-8千/月,10-18
"

                    Python少儿讲师（东城/8k-10k）                
",上海达内为上软件科技有限公司,东莞-东城区,0.8-1万/月,10-18
"

                    Python开发工程师                
",深圳市德科信息技术有限公司,广州-天河区,0.8-1.3万/月,10-18
"

                    python爬虫工程师                
",雷特网络科技有限公司,深圳-龙华新区,1.5-3万/月,10-18
"

                    Python后台开发工程师                
",尤盛信息技术（上海）有限公司,上海-浦东新区,1.2-2.2万/月,10-18
"

                    Python开发工程师                
",合肥市合趣网络科技有限公司,合肥,0.8-1.5万/月,10-18
"

                    python爬虫工程师                
",青岛汇信互联技术有限公司,青岛-市北区,0.8-1万/月,10-18
"

                    Python开发工程师                
",上海云逐信息技术有限公司,上海-静安区,1-1.5万/月,10-18
"

                    Python编程老师 无责底薪4500+                
",东莞市童程童美信息科技有限公司,东莞,0.8-1万/月,10-18
"

                    Python开发工程师                
",合肥微实信息工程有限公司,合肥-经开区,4.5-6千/月,10-18
"

                    Python开发工程师                
",广东盛迪嘉集团有限公司,深圳-南山区,2-2.5万/月,10-18
"

                    Python后端开发工程师                
",源杉数据科技（上海）有限公司,上海-杨浦区,1.5-2.5万/月,10-18
"

                    Python开发工程师                
",上海天泰网络技术有限公司,上海,0.8-1.5万/月,10-18
"

                    Python高级开发工程师                
",上海答派体育文化发展有限公司,上海-闵行区,1.3-2.5万/月,10-18
"

                    python程序员                
",上海中路（集团）有限公司,上海,0.8-1万/月,10-18
"

                    Python开发工程师                
",杭州三汇数字信息技术有限公司,南京-雨花台区,0.8-1.6万/月,10-18
"

                    Python数据分析师                
",上海软科教育信息咨询有限公司,上海-闵行区,0.8-1万/月,10-18
"

                    Python开发工程师（SaaS云端开发）                
",上海合阔信息技术有限公司,上海,1.2-2.4万/月,10-18
"

                    Python软件工程师                
",上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月,10-18
"

                    scratch/Python课程教研                
",杭州小米智课教育科技有限公司,杭州-下城区,0.7-1.2万/月,10-18
"

                    Python开发工程师                
",深圳兆日科技股份有限公司,深圳-福田区,1.1-2万/月,10-18
"

                    Python软件开发工程师                
",智邦大陆科技有限公司,西安-高新技术...,0.8-1.4万/月,10-18
"

                    高级Python开发工程师 - -抖音上海                
",字节跳动,上海,2.5-5万/月,10-18
"

                    Python实习生                
",西安赫胥尔镭得激光科技有限公司,成都-武侯区,4.5-7千/月,10-18
"

                    python开发                
",深圳市捷兴电子商务有限公司,异地招聘,2-3万/月,10-18
"

                    Python开发工程师/主任(工作地点在石岩)                
",禧图纸品印刷（深圳）有限公司,深圳,1.5-2.2万/月,10-18
"

                    python后端开发                
",三门峡崤云安全服务有限公司,异地招聘,0.6-1.2万/月,10-18
"

                    高级Python/Django后端软件工程师                
",上海东方低碳科技产业股份有限公司...,上海-长宁区,1.5-2万/月,10-18
"

                    Perl/Python开发工程师                
",天津恩梯梯数据有限公司,天津,6-8千/月,10-18
"

                    中级Python开发                
",文思海辉技术有限公司Pactera Tec...,无锡,0.8-1万/月,10-18
职位名,公司名,工作地点,薪资,发布日期
"

                    电控系统开发（C++/C#/python)                
",卡特彼勒技术研发（中国）有限公司...,无锡-无锡新区,1.5-2万/月,10-22
"

                    全栈Python工程师                
",广州丹梨信息技术有限公司,广州-海珠区,1.5-3万/月,10-22
"

                    Python工程师                
",静瞳海外投资顾问（深圳）有限公司...,广州,0.7-1.5万/月,10-22
